1.0738334876486775 1980	sunday bloody
0.005341120287379653 1980	bloody morning
1.4773131306977234 1980	sunday morning
2.1861981134073005 1980	bloody sunday
44.07417776703049 1990	f 75
307.0135842419392 1990	slip away
172.9595188179473 1990	backstreet boys
44.07417776703049 1990	dogs caged
91.7151925178498 1990	looks calm
47.59831518238888 1990	fast car
33.89401479215252 1990	woman cat
243.50358269702963 1990	mood changed
172.9595188179473 1990	words come
44.07417776703049 1990	devide conquer
307.0135842419392 1990	getting harder
172.9595188179473 1990	black lamp
91.7151925178498 1990	grows loud
30.412240872901613 1990	car manufacturer
172.9595188179473 1990	mama mia
30.412240872901613 1990	sunday morning
243.50358269702963 1990	opens mouth
243.50358269702963 1990	soft pillow
243.50358269702963 1990	wide screen
172.9595188179473 1990	moms speghetti
91.7151925178498 1990	food stamps
47.59831518238888 1990	bloody sunday
44.07417776703049 1990	summer time
91.7151925178498 1990	red watermelon
44.07417776703049 1990	fix win
33.89401479215252 1990	cat woman
14.736591734795667 1990	hello worl56d
47.53240781662526 1990	hello world
157.1468802221304 1990	hello yonatan
45.659607955574 2000	f 75
106.16605623779917 2000	drop bombs
90.03969462200575 2000	president bush
44.359584161251874 2000	fast car
30.67778994404651 2000	woman cat
45.659607955574 2000	devide conquer
90.03969462200575 2000	ice cream
164.69433056408184 2000	buy diapers
184.75686297144512 2000	sweaty knees
90.03969462200575 2000	just let
31.997671061445125 2000	car manufacturer
285.2885993795792 2000	changed mood
31.997671061445125 2000	sunday morning
228.55612009131204 2000	hes nervous
90.03969462200575 2000	pied piper
90.03969462200575 2000	provide right
285.2885993795792 2000	clocks runs
44.359584161251874 2000	bloody sunday
45.659607955574 2000	summer time
90.03969462200575 2000	harsh weather
45.659607955574 2000	fix win
30.67778994404651 2000	cat woman
16.32202192333918 2000	hello worl56d
45.85690992078121 2000	hello world
145.5522916053302 2000	hello yonatan
